payment_id,student_id,semester,payment_date,amount_paid,payment_status
PMT5000,SV3033 ,2024-1,2024-10-28,0.0,Chưa thanh toán
PMT5001,SV3023 ,1202-1,,9000000.0,Thanh toán trễ
PMT5002,SV3022,1202-1,2024-09-23,0.0,Thanh toán một phần
PMT5003,SV3042 ,2024-1,,8000000.0,Thanh toan mot phan
PMT5004,sv3063,2024-2,,0.0,Chưa thanh toán
PMT5005,SV3062 ,2024-1,2024-01-16,0.0,Chưa thanh toán
PMT5006, SV3028,1202-1,2025-01-16,8000000.0,Thanh toan mot phan
PMT5007,sv3071,2024-1,,10000000.0,Thanh toán một phần
PMT5008,SV3035 ,2202-2,2024-11-17,4000000.0,Đã thanh toán
PMT5009,SV3017,1202-1,,10000000.0,Da thanh toan
PMT5010,sv3043,2024-2,2024-09-16,0.0,Da thanh toan
PMT5011, SV3028,2024-2,,8000000.0,Thanh toán trễ
PMT5012,SV3075,1202-1,2024-12-05,9000000.0,Da thanh toan
PMT5013,sv3037,2024-1,,0.0,Chua thanh toan
PMT5014, SV3051,1202-1,2024-09-13,10000000.0,
PMT5015, SV3054,2024-1,,0.0,Chưa thanh toán
PMT5016,sv3002,2025-1,,4000000.0,Thanh toán trễ
PMT5017,sv3064,2024-1,,0.0,Da thanh toan
PMT5018,SV3058 ,2024-2,,4000000.0,Chua thanh toan
PMT5019, SV3004,2024-2,,8000000.0,Đã thanh toán
PMT5020,SV3000,2202-2,2024-01-19,8000000.0,
PMT5021,SV3040 ,1202-1,2025-01-19,4000000.0,Da thanh toan
PMT5022,SV3005 ,2024-1,2024-05-11,8000000.0,
PMT5023,sv3065,2024-2,2024-10-16,0.0,Chua thanh toan
PMT5024,sv3026,2202-2,,4000000.0,Thanh toan mot phan
PMT5025, SV3059,2024-1,2024-02-29,8000000.0,
PMT5026, SV3051,2024-1,2024-04-23,0.0,Chua thanh toan
PMT5027,sv3067,2024-2,2024-04-30,0.0,Đã thanh toán
PMT5028,SV3062 ,1202-1,,10000000.0,Đã thanh toán
PMT5029,SV3033 ,1202-1,,0.0,
PMT5030, SV3066,2025-1,2024-01-07,9000000.0,Thanh toán một phần
PMT5031, SV3011,2202-2,2024-12-16,0.0,Thanh toan mot phan
PMT5032,sv3030,2024-1,,0.0,Da thanh toan
PMT5033,sv3026,2024-2,,0.0,Thanh toán trễ
PMT5034,SV3017,2024-1,,0.0,Đã thanh toán
PMT5035,sv3001,2024-1,,0.0,Thanh toan tre
PMT5036,SV3046 ,2025-1,2025-01-02,8000000.0,
PMT5037,SV3023 ,2024-1,,0.0,Chưa thanh toán
PMT5038,SV3062 ,2202-2,2024-06-18,10000000.0,Thanh toán trễ
PMT5039,sv3036,2025-1,2024-12-02,8000000.0,Thanh toan mot phan
PMT5040,SV3005 ,2025-1,2024-10-11,9000000.0,Thanh toan mot phan
PMT5041,SV3040 ,1202-1,,10000000.0,Thanh toán một phần
PMT5042,sv3043,2025-1,2024-06-12,8000000.0,Thanh toan tre
PMT5043,SV3044 ,1202-1,2024-06-17,0.0,Thanh toán một phần
PMT5044,sv3077,1202-1,,0.0,Chưa thanh toán
PMT5045,sv3077,2024-1,2024-02-18,0.0,Chưa thanh toán
