student_id,semester,tuition_amount,due_date
SV3035 ,2024-1,0.0,2024-01-20
sv3078,1202-1,0.0,2024-01-25
 SV3014,1202-1,0.0,2024-05-29
sv3036,2024-1,10000000.0,
SV3075,2024-2,9000000.0,2024-03-13
SV3023 ,2024-2,8000000.0,
sv3007,2025-1,9000000.0,2024-06-26
sv3043,2024-1,10000000.0,
SV3033 ,2202-2,0.0,2024-07-24
SV3048,2024-2,9000000.0,2024-03-06
SV3072 ,1202-1,0.0,2024-01-13
 SV3032,1202-1,0.0,
SV3057 ,1202-1,0.0,2024-02-09
 SV3021,2202-2,10000000.0,2024-01-17
SV3034,2024-1,8000000.0,2024-07-21
SV3023 ,1202-1,9000000.0,2024-05-21
sv3003,1202-1,9000000.0,2024-09-19
sv3001,2202-2,0.0,
sv3078,2024-2,9000000.0,
sv3019,2202-2,9000000.0,2024-01-24
sv3071,1202-1,10000000.0,
sv3019,2025-1,10000000.0,2024-04-13
SV3069,2024-1,10000000.0,2024-03-03
SV3072 ,2024-2,8000000.0,
SV3041,2025-1,8000000.0,
 SV3021,2202-2,10000000.0,2024-09-04
SV3009,2025-1,0.0,2024-11-15
 SV3054,1202-1,0.0,2024-11-07
sv3077,2202-2,9000000.0,2024-12-03
 SV3032,2024-2,8000000.0,
 SV3050,2024-2,8000000.0,
sv3001,2025-1,10000000.0,
SV3073,1202-1,10000000.0,
sv3068,2025-1,0.0,2024-03-26
sv3078,2025-1,9000000.0,
SV3025,1202-1,9000000.0,2024-03-07
sv3002,2025-1,0.0,
sv3007,2024-2,8000000.0,2024-04-11
 SV3051,2202-2,10000000.0,2024-01-26
sv3064,2025-1,0.0,
sv3002,2202-2,9000000.0,
 SV3010,1202-1,9000000.0,
SV3017,1202-1,0.0,
sv3064,2025-1,9000000.0,2024-05-10
 SV3049,2202-2,9000000.0,2024-01-27
SV3041,2202-2,0.0,
SV3060,2025-1,10000000.0,
sv3026,2024-1,0.0,
SV3044 ,1202-1,0.0,
sv3055,2024-1,9000000.0,
SV3047 ,2024-1,9000000.0,
SV3041,2024-2,10000000.0,
 SV3014,1202-1,9000000.0,
SV3072 ,2202-2,9000000.0,
 SV3013,2024-1,9000000.0,
SV3061 ,2025-1,8000000.0,2024-05-05
sv3026,2202-2,9000000.0,
sv3063,1202-1,0.0,
SV3048,2025-1,0.0,2024-04-06
sv3006,1202-1,10000000.0,2024-01-23
SV3031 ,1202-1,0.0,2024-08-28
sv3002,2202-2,0.0,
 SV3049,1202-1,9000000.0,
SV3079,2024-1,0.0,2024-08-18
SV3048,1202-1,8000000.0,2024-08-06
SV3034,1202-1,9000000.0,2024-03-12
sv3037,2025-1,10000000.0,2024-01-26
SV3072 ,1202-1,0.0,2024-05-14
 SV3038,2024-2,10000000.0,2024-06-25
SV3070,1202-1,9000000.0,2024-11-21
 SV3050,2024-1,0.0,2024-04-12
sv3026,1202-1,8000000.0,
 SV3021,2024-1,10000000.0,2024-07-09
 SV3028,2025-1,10000000.0,2024-04-23
sv3036,2025-1,10000000.0,
SV3015,2025-1,8000000.0,2024-04-01
SV3024,2202-2,0.0,2024-08-07
sv3055,1202-1,9000000.0,2024-11-15
 SV3054,1202-1,0.0,2024-04-30
SV3020,2025-1,0.0,2024-09-05
SV3022,2024-1,9000000.0,
sv3018,1202-1,0.0,
sv3027,1202-1,0.0,
SV3073,2025-1,9000000.0,2024-08-12
SV3057 ,2024-1,10000000.0,
SV3022,1202-1,10000000.0,
 SV3039,1202-1,8000000.0,2024-05-03
sv3003,1202-1,10000000.0,2024-03-07
SV3070,2202-2,8000000.0,
 SV3028,1202-1,9000000.0,2024-11-22
SV3023 ,2202-2,0.0,
SV3069,1202-1,10000000.0,2024-02-19
sv3068,2024-2,8000000.0,
 SV3051,2202-2,10000000.0,
SV3005 ,2024-2,0.0,2024-07-11
sv3012,2025-1,9000000.0,2024-06-26
SV3058 ,1202-1,9000000.0,2024-09-30
SV3046 ,2025-1,8000000.0,2024-07-13
 SV3059,2024-1,0.0,2024-05-12
 SV3076,2202-2,9000000.0,2024-06-26
sv3018,2202-2,10000000.0,2024-10-20
sv3019,2202-2,9000000.0,
sv3065,2024-2,0.0,2024-11-19
SV3020,2024-1,0.0,2024-06-20
SV3023 ,1202-1,10000000.0,
 SV3054,2024-1,9000000.0,
SV3035 ,1202-1,9000000.0,2024-11-01
sv3067,2025-1,8000000.0,
sv3001,2202-2,9000000.0,
sv3012,2202-2,9000000.0,2024-09-23
 SV3076,1202-1,8000000.0,2024-09-02
SV3047 ,2202-2,0.0,
sv3064,2025-1,10000000.0,2024-08-12
SV3042 ,2024-1,9000000.0,2024-10-16
SV3079,2024-1,0.0,
 SV3049,1202-1,9000000.0,2024-03-20
 SV3004,2024-1,9000000.0,2024-10-17
SV3009,2025-1,0.0,2024-01-05
sv3027,1202-1,8000000.0,2024-12-16
SV3069,2024-1,9000000.0,2024-04-19
